STATION,PRCP,TMAX,TMIN,Year,County,Yield(Unit/Acre)
USC00048351,0.0,,,1980,Sonoma,3.34
USC00048351,0.0,53.0,38.0,1981,Sonoma,3.39
USC00048351,0.5,51.0,35.0,1982,Sonoma,4.0
USC00048351,0.0,48.0,32.0,1983,Sonoma,3.14
USC00048351,0.0,63.0,36.0,1984,Sonoma,3.81
USC00048351,0.0,47.0,24.0,1985,Sonoma,3.59
USC00048351,0.0,63.0,44.0,1986,Sonoma,3.77
USC00048351,0.83,58.0,44.0,1987,Sonoma,3.77
USC00048351,0.01,45.0,28.0,1988,Sonoma,3.54
USC00048351,0.0,,,1989,Sonoma,4.42
USC00048351,0.44,52.0,,1990,Sonoma,3.8
USC00048351,0.0,,,1991,Sonoma,4.95
USC00048351,0.0,,,1992,Sonoma,4.73
USC00048351,0.0,52.0,29.0,1993,Sonoma,4.16
USC00048351,,,,1994,Sonoma,4.53
USC00048351,,,,1995,Sonoma,4.22
USC00048351,0.0,70.0,45.0,1996,Sonoma,3.8
USC00048351,,,,1997,Sonoma,5.5
USC00048351,,,,1998,Sonoma,3.77
USC00048351,0.0,,,1999,Sonoma,3.37
USC00048351,0.0,,,2000,Sonoma,4.52
USC00048351,0.0,,,2001,Sonoma,3.98
USC00048351,,,,2002,Sonoma,3.93
USC00048351,,,,2003,Sonoma,3.08
USC00048351,,,,2004,Sonoma,3.31
USC00048351,,,,2005,Sonoma,4.05
USC00048351,,,,2006,Sonoma,3.9
USC00048351,0.0,65.0,,2007,Sonoma,3.62
USC00048351,0.0,63.0,30.0,2008,Sonoma,3.05
USC00048351,,,,2009,Sonoma,3.78
USC00048351,,,,2010,Sonoma,3.4
USC00048351,0.68,48.0,40.0,2011,Sonoma,2.87
USC00048351,,60.0,31.0,2012,Sonoma,4.58
USC00048351,0.02,55.0,32.0,2013,Sonoma,4.53
USC00048351,0.0,,,2014,Sonoma,4.39
USC00048351,0.0,58.0,27.0,2015,Sonoma,3.14
USC00048351,0.0,,,2016,Sonoma,3.77
USC00048351,0.0,,,2017,Sonoma,3.43
USC00048351,0.0,58.0,39.0,2018,Sonoma,4.61
USC00048351,0.0,56.0,28.0,2019,Sonoma,4.0
USC00048351,0.0,66.0,39.0,2020,Sonoma,2.61
USC00047965,0.02,58.0,49.0,1986,Sonoma,3.77
USC00047965,0.46,56.0,42.0,1987,Sonoma,3.77
USC00047965,0.0,48.0,29.0,1988,Sonoma,3.54
USC00047965,0.0,55.0,31.0,1989,Sonoma,4.42
USC00047965,0.25,52.0,43.0,1990,Sonoma,3.8
USC00047965,0.0,56.0,26.0,1991,Sonoma,4.95
USC00047965,0.0,58.0,33.0,1992,Sonoma,4.73
USC00047965,1.3,53.0,44.0,1993,Sonoma,4.16
USC00047965,0.0,52.0,37.0,1994,Sonoma,4.53
USC00047965,0.48,49.0,43.0,1995,Sonoma,4.22
USC00047965,0.0,75.0,46.0,1996,Sonoma,3.8
USC00047965,3.42,63.0,58.0,1997,Sonoma,5.5
USC00047965,0.0,56.0,45.0,1998,Sonoma,3.77
USC00047965,0.0,62.0,29.0,1999,Sonoma,3.37
USC00047965,0.0,55.0,35.0,2000,Sonoma,4.52
USC00047965,0.0,63.0,35.0,2001,Sonoma,3.98
USC00047965,0.4,58.0,53.0,2002,Sonoma,3.93
USC00047965,0.0,54.0,35.0,2003,Sonoma,3.08
USC00047965,1.41,52.0,45.0,2004,Sonoma,3.31
USC00047965,0.37,51.0,38.0,2005,Sonoma,4.05
USC00047965,0.87,55.0,46.0,2006,Sonoma,3.9
USC00047965,0.0,69.0,32.0,2007,Sonoma,3.62
USC00047965,0.0,64.0,27.0,2008,Sonoma,3.05
USC00047965,0.0,56.0,47.0,2009,Sonoma,3.78
USC00047965,0.19,56.0,49.0,2010,Sonoma,3.4
USC00047965,0.5,45.0,37.0,2011,Sonoma,2.87
USC00047965,,68.0,32.0,2012,Sonoma,4.58
USC00047965,0.0,79.0,,2017,Sonoma,3.43
USC00047965,0.0,64.0,39.0,2018,Sonoma,4.61
USC00047965,0.0,60.0,43.0,2019,Sonoma,4.0
USC00047965,0.0,62.0,43.0,2020,Sonoma,2.61
USC00043578,0.0,60.0,48.0,1986,Sonoma,3.77
USC00043578,0.01,50.0,44.0,1987,Sonoma,3.77
USC00043578,0.0,54.0,26.0,1988,Sonoma,3.54
USC00043578,0.0,52.0,28.0,1989,Sonoma,4.42
USC00043578,0.22,53.0,37.0,1990,Sonoma,3.8
USC00043578,0.0,56.0,20.0,1991,Sonoma,4.95
USC00043578,0.0,59.0,29.0,1992,Sonoma,4.73
USC00043578,1.62,55.0,44.0,1993,Sonoma,4.16
USC00043578,0.05,51.0,36.0,1994,Sonoma,4.53
USC00043578,0.63,45.0,42.0,1995,Sonoma,4.22
USC00043578,0.0,69.0,39.0,1996,Sonoma,3.8
USC00043578,3.53,61.0,58.0,1997,Sonoma,5.5
USC00043578,0.0,58.0,37.0,1998,Sonoma,3.77
USC00043578,0.0,63.0,28.0,1999,Sonoma,3.37
USC00043578,0.0,53.0,29.0,2000,Sonoma,4.52
USC00043578,0.0,60.0,30.0,2001,Sonoma,3.98
USC00043578,0.51,58.0,51.0,2002,Sonoma,3.93
USC00043578,0.11,57.0,35.0,2003,Sonoma,3.08
USC00043578,2.22,55.0,43.0,2004,Sonoma,3.31
USC00043578,0.83,49.0,36.0,2005,Sonoma,4.05
USC00043578,0.2,60.0,42.0,2006,Sonoma,3.9
USC00043578,0.0,58.0,30.0,2007,Sonoma,3.62
USC00043578,0.0,59.0,25.0,2008,Sonoma,3.05
USC00043578,0.0,57.0,43.0,2009,Sonoma,3.78
USC00043578,0.02,54.0,48.0,2010,Sonoma,3.4
USC00043578,0.65,45.0,31.0,2011,Sonoma,2.87
USC00043578,0.0,62.0,29.0,2012,Sonoma,4.58
USC00043578,0.0,55.0,29.0,2013,Sonoma,4.53
USC00043578,0.0,68.0,27.0,2014,Sonoma,4.39
USC00043578,0.0,60.0,24.0,2015,Sonoma,3.14
USC00043578,0.0,58.0,23.0,2016,Sonoma,3.77
USC00043578,0.01,59.0,30.0,2017,Sonoma,3.43
USC00043578,0.0,70.0,29.0,2018,Sonoma,4.61
USC00043578,0.0,61.0,32.0,2019,Sonoma,4.0
USC00043578,0.0,64.0,42.0,2020,Sonoma,2.61
USC00043875,0.03,62.0,52.0,1986,Sonoma,3.77
USC00043875,0.6,61.0,46.0,1987,Sonoma,3.77
USC00043875,0.0,48.0,29.0,1988,Sonoma,3.54
USC00043875,0.0,56.0,31.0,1989,Sonoma,4.42
USC00043875,0.25,50.0,40.0,1990,Sonoma,3.8
USC00043875,0.0,60.0,26.0,1991,Sonoma,4.95
USC00043875,0.0,61.0,36.0,1992,Sonoma,4.73
USC00043875,1.27,55.0,44.0,1993,Sonoma,4.16
USC00043875,0.15,54.0,37.0,1994,Sonoma,4.53
USC00043875,0.49,53.0,43.0,1995,Sonoma,4.22
USC00043875,0.0,72.0,42.0,1996,Sonoma,3.8
USC00043875,2.82,69.0,58.0,1997,Sonoma,5.5
USC00043875,0.1,54.0,41.0,1998,Sonoma,3.77
USC00043875,0.0,59.0,32.0,1999,Sonoma,3.37
USC00043875,0.0,51.0,33.0,2000,Sonoma,4.52
USC00043875,0.0,60.0,32.0,2001,Sonoma,3.98
USC00043875,0.7,59.0,53.0,2002,Sonoma,3.93
USC00043875,0.02,54.0,37.0,2003,Sonoma,3.08
USC00043875,2.0,55.0,42.0,2004,Sonoma,3.31
USC00043875,0.22,51.0,40.0,2005,Sonoma,4.05
USC00043875,1.73,56.0,43.0,2006,Sonoma,3.9
USC00043875,0.0,68.0,30.0,2007,Sonoma,3.62
USC00043875,0.0,56.0,28.0,2008,Sonoma,3.05
USC00043875,0.0,56.0,42.0,2009,Sonoma,3.78
USC00043875,0.46,55.0,50.0,2010,Sonoma,3.4
USC00043875,,70.0,36.0,2011,Sonoma,2.87
USC00043875,,65.0,29.0,2012,Sonoma,4.58
USC00043875,0.0,85.0,55.0,2017,Sonoma,3.43
USC00043875,0.0,71.0,39.0,2018,Sonoma,4.61
USC00043875,1.07,56.0,49.0,2019,Sonoma,4.0
USC00043875,0.0,63.0,44.0,2020,Sonoma,2.61
USC00046370,0.0,,,1986,Sonoma,3.77
USC00046370,0.0,,,1987,Sonoma,3.77
USC00046370,0.0,,,1988,Sonoma,3.54
USC00046370,0.0,,,1989,Sonoma,4.42
USC00046370,0.0,,,1990,Sonoma,3.8
USC00046370,0.0,,,1991,Sonoma,4.95
USC00046370,0.0,,,1992,Sonoma,4.73
USC00046370,1.48,,,1993,Sonoma,4.16
USC00046370,0.0,,,1994,Sonoma,4.53
USC00046370,0.4,,,1995,Sonoma,4.22
USC00046370,0.0,,,1996,Sonoma,3.8
USC00046370,4.72,,,1997,Sonoma,5.5
USC00046370,0.0,,,1998,Sonoma,3.77
USC00046370,0.0,,,1999,Sonoma,3.37
USC00046370,0.0,53.0,38.0,2000,Sonoma,4.52
USC00046370,0.0,62.0,41.0,2001,Sonoma,3.98
USC00046370,0.85,53.0,51.0,2002,Sonoma,3.93
USC00046370,0.0,51.0,42.0,2003,Sonoma,3.08
USC00046370,2.22,51.0,42.0,2004,Sonoma,3.31
USC00046370,0.49,47.0,38.0,2005,Sonoma,4.05
USC00046370,1.8,51.0,46.0,2006,Sonoma,3.9
USC00046370,0.0,67.0,40.0,2007,Sonoma,3.62
USC00046370,0.0,55.0,38.0,2008,Sonoma,3.05
USC00046370,0.0,53.0,43.0,2009,Sonoma,3.78
USC00046370,0.97,53.0,47.0,2010,Sonoma,3.4
USC00046370,0.54,40.0,36.0,2011,Sonoma,2.87
USC00046370,0.0,,,2012,Sonoma,4.58
USC00046370,0.0,51.0,35.0,2013,Sonoma,4.53
USC00046370,0.0,,,2014,Sonoma,4.39
USC00046370,0.0,,,2015,Sonoma,3.14
USC00046370,0.0,51.0,32.0,2016,Sonoma,3.77
USC00046370,0.0,51.0,34.0,2017,Sonoma,3.43
USC00046370,0.0,60.0,45.0,2018,Sonoma,4.61
USC00046370,0.0,57.0,44.0,2019,Sonoma,4.0
USC00046370,0.02,60.0,46.0,2020,Sonoma,2.61
USC00046826,0.0,61.0,49.0,1986,Sonoma,3.77
USC00046826,0.04,58.0,42.0,1987,Sonoma,3.77
USC00046826,0.0,44.0,28.0,1988,Sonoma,3.54
USC00046826,0.0,56.0,29.0,1989,Sonoma,4.42
USC00046826,0.0,49.0,42.0,1990,Sonoma,3.8
USC00046826,0.0,55.0,23.0,1991,Sonoma,4.95
USC00046826,0.0,61.0,31.0,1992,Sonoma,4.73
USC00046826,0.0,53.0,,1993,Sonoma,4.16
USC00046826,0.0,52.0,38.0,1994,Sonoma,4.53
USC00046826,0.27,51.0,43.0,1995,Sonoma,4.22
USC00046826,0.0,74.0,44.0,1996,Sonoma,3.8
USC00046826,1.39,63.0,57.0,1997,Sonoma,5.5
USC00046826,0.0,57.0,40.0,1998,Sonoma,3.77
USC00046826,0.0,63.0,31.0,1999,Sonoma,3.37
USC00046826,0.0,55.0,35.0,2000,Sonoma,4.52
USC00046826,0.0,63.0,35.0,2001,Sonoma,3.98
USC00046826,0.28,58.0,53.0,2002,Sonoma,3.93
USC00046826,0.0,56.0,36.0,2003,Sonoma,3.08
USC00046826,1.28,53.0,46.0,2004,Sonoma,3.31
USC00046826,0.72,50.0,38.0,2005,Sonoma,4.05
USC00046826,0.58,54.0,47.0,2006,Sonoma,3.9
USC00046826,0.0,67.0,36.0,2007,Sonoma,3.62
USC00046826,0.0,,38.0,2008,Sonoma,3.05
USC00046826,0.01,46.0,43.0,2009,Sonoma,3.78
USC00046826,0.1,55.0,45.0,2010,Sonoma,3.4
USC00046826,0.23,44.0,34.0,2011,Sonoma,2.87
USC00046826,0.0,60.0,31.0,2012,Sonoma,4.58
USC00046826,0.0,55.0,30.0,2013,Sonoma,4.53
USC00046826,0.0,63.0,29.0,2014,Sonoma,4.39
USC00046826,0.0,62.0,31.0,2015,Sonoma,3.14
USC00046826,0.01,50.0,24.0,2016,Sonoma,3.77
USC00046826,0.0,53.0,31.0,2017,Sonoma,3.43
USC00046826,0.0,62.0,37.0,2018,Sonoma,4.61
USC00046826,0.0,59.0,41.0,2019,Sonoma,4.0
USC00046826,0.0,64.0,39.0,2020,Sonoma,2.61
USC00043191,0.0,61.0,34.0,1986,Sonoma,3.77
USC00043191,0.43,64.0,39.0,1987,Sonoma,3.77
USC00043191,0.0,52.0,23.0,1988,Sonoma,3.54
USC00043191,0.0,48.0,34.0,1989,Sonoma,4.42
USC00043191,0.23,51.0,44.0,1990,Sonoma,3.8
USC00043191,0.0,55.0,28.0,1991,Sonoma,4.95
USC00043191,0.0,,,1992,Sonoma,4.73
USC00043191,1.0,55.0,40.0,1993,Sonoma,4.16
USC00043191,0.07,58.0,40.0,1994,Sonoma,4.53
USC00043191,,,,1995,Sonoma,4.22
USC00043191,0.0,62.0,45.0,1996,Sonoma,3.8
USC00043191,,,,1997,Sonoma,5.5
USC00043191,0.0,61.0,50.0,1998,Sonoma,3.77
USC00043191,0.84,55.0,39.0,1999,Sonoma,3.37
USC00043191,0.0,58.0,38.0,2000,Sonoma,4.52
USC00043191,0.0,59.0,39.0,2001,Sonoma,3.98
USC00043191,,,,2002,Sonoma,3.93
USC00043191,0.41,61.0,42.0,2003,Sonoma,3.08
USC00043191,1.35,58.0,38.0,2004,Sonoma,3.31
USC00043191,,,,2005,Sonoma,4.05
USC00043191,,,,2006,Sonoma,3.9
USC00043191,0.0,51.0,39.0,2007,Sonoma,3.62
USC00043191,0.0,61.0,37.0,2008,Sonoma,3.05
USC00043191,,,,2009,Sonoma,3.78
USC00043191,,,,2010,Sonoma,3.4
USC00043191,0.0,48.0,41.0,2011,Sonoma,2.87
USC00043191,,64.0,35.0,2012,Sonoma,4.58
USC00043191,0.0,,,2013,Sonoma,4.53
USC00043191,0.0,66.0,36.0,2014,Sonoma,4.39
USC00043191,0.0,,,2015,Sonoma,3.14
USC00043191,0.04,60.0,32.0,2016,Sonoma,3.77
USC00043191,0.0,54.0,31.0,2017,Sonoma,3.43
USC00043191,0.0,,,2018,Sonoma,4.61
USC00043191,0.0,,,2019,Sonoma,4.0
USC00043191,0.01,61.0,34.0,2020,Sonoma,2.61
USC00041838,0.07,56.0,44.0,1986,Sonoma,3.77
USC00041838,0.86,58.0,46.0,1987,Sonoma,3.77
USC00041838,0.03,48.0,30.0,1988,Sonoma,3.54
USC00041838,0.0,62.0,36.0,1989,Sonoma,4.42
USC00041838,0.0,63.0,32.0,1990,Sonoma,3.8
USC00041838,0.0,60.0,32.0,1991,Sonoma,4.95
USC00041838,,96.0,58.0,1992,Sonoma,4.73
USC00041838,1.42,49.0,36.0,1993,Sonoma,4.16
USC00041838,0.18,50.0,42.0,1994,Sonoma,4.53
USC00041838,0.49,44.0,32.0,1995,Sonoma,4.22
USC00041838,0.0,68.0,45.0,1996,Sonoma,3.8
USC00041838,4.2,62.0,54.0,1997,Sonoma,5.5
USC00041838,0.05,50.0,38.0,1998,Sonoma,3.77
USC00041838,0.0,61.0,38.0,1999,Sonoma,3.37
USC00041838,0.0,56.0,32.0,2000,Sonoma,4.52
USC00041838,0.0,63.0,37.0,2001,Sonoma,3.98
USC00041838,0.71,56.0,52.0,2002,Sonoma,3.93
USC00041838,0.0,54.0,37.0,2003,Sonoma,3.08
USC00041838,2.13,53.0,45.0,2004,Sonoma,3.31
USC00041838,0.66,49.0,38.0,2005,Sonoma,4.05
USC00041838,1.3,54.0,48.0,2006,Sonoma,3.9
USC00041838,0.0,64.0,37.0,2007,Sonoma,3.62
USC00041838,0.0,58.0,29.0,2008,Sonoma,3.05
USC00041838,0.0,62.0,42.0,2009,Sonoma,3.78
USC00041838,0.0,55.0,33.0,2010,Sonoma,3.4
USC00041838,0.4,44.0,39.0,2011,Sonoma,2.87
USC00041838,,66.0,33.0,2012,Sonoma,4.58
USC00041838,0.0,59.0,29.0,2013,Sonoma,4.53
USC00041838,0.0,70.0,35.0,2014,Sonoma,4.39
USC00041838,0.0,60.0,28.0,2015,Sonoma,3.14
USC00041838,0.0,52.0,27.0,2016,Sonoma,3.77
USC00041838,0.0,63.0,34.0,2017,Sonoma,3.43
USC00041838,,,,2018,Sonoma,4.61
USC00041838,0.0,65.0,32.0,2019,Sonoma,4.0
USC00041838,0.0,65.0,44.0,2020,Sonoma,2.61
USW00023213,0.0,75.0,55.0,1998,Sonoma,3.77
USW00023213,0.0,62.0,29.0,1999,Sonoma,3.37
USW00023213,0.01,54.0,30.0,2000,Sonoma,4.52
USW00023213,0.0,62.0,30.0,2001,Sonoma,3.98
USW00023213,1.91,56.0,52.0,2002,Sonoma,3.93
USW00023213,0.18,53.0,35.0,2003,Sonoma,3.08
USW00023213,1.63,55.0,35.0,2004,Sonoma,3.31
USW00023213,0.25,50.0,37.0,2005,Sonoma,4.05
USW00023213,1.52,56.0,45.0,2006,Sonoma,3.9
USW00023213,0.0,68.0,31.0,2007,Sonoma,3.62
USW00023213,0.0,59.0,26.0,2008,Sonoma,3.05
USW00023213,0.0,56.0,42.0,2009,Sonoma,3.78
USW00023213,0.42,54.0,49.0,2010,Sonoma,3.4
USW00023213,0.5,46.0,41.0,2011,Sonoma,2.87
USW00023213,0.0,65.0,29.0,2012,Sonoma,4.58
USW00023213,0.0,59.0,31.0,2013,Sonoma,4.53
USW00023213,0.0,67.0,25.0,2014,Sonoma,4.39
USW00023213,0.0,55.0,27.0,2015,Sonoma,3.14
USW00023213,0.0,52.0,24.0,2016,Sonoma,3.77
USW00023213,0.0,54.0,31.0,2017,Sonoma,3.43
USW00023213,0.0,67.0,39.0,2018,Sonoma,4.61
USW00023213,0.0,61.0,32.0,2019,Sonoma,4.0
USW00023213,0.0,64.0,42.0,2020,Sonoma,2.61
